Symbol,Name,Sector,Price,Price/Earnings,Dividend_Yield,52w_low,52w_high,Market_Cap,EBITDA,Price/Sales,Price/Book,Book_Value
WY,Weyerhaeuser Corp.,Real Estate,33.6,34.29,3.7079954,37.89,30.9504,26070297960,1365000000,3.6396794,2.9,11.5862069
WHR,Whirlpool Corp.,Consumer Discretionary,164.95,11.77,2.5652986,202.99,158.8,12177920000,1842000000,0.58064795,2.57,64.18287938
WMB,Williams Cos.,Energy,28.56,48.41,4,33.67,26.8188,24802396470,3955000000,4.2982845,3.01,9.488372093
WLTW,Willis Towers Watson,Financials,152.36,18.67,1.347058,165,120.869,20780269334,1440000000,3.4484663,2.1,72.55238095
WYN,Wyndham Worldwide,Consumer Discretionary,113.56,18.77,1.9541779,127.96,80.11,11993835688,1232000000,2.7332082,18.91,6.005288207
WYNN,Wynn Resorts Ltd,Consumer Discretionary,169.28,31.7,1.1279043,203.63,92.67,18225400525,1501301000,2.478658,51.69,3.274908106
XEL,Xcel Energy Inc,Utilities,42.44,18.14,3.3914273,52.22,41.16,21559611927,3885828000,2.520456,1.94,21.87628866
XRX,Xerox Corp.,Information Technology,29.8,8.87,3.207184,37.42,26.64,7938833340,1191000000,0.7877656,1.49,20
XLNX,Xilinx Inc,Information Technology,62.82,27.19,2.0904882,77.26,54.99,17064975551,845468000,7.101206,7.22,8.700831025
XL,XL Capital,Financials,41.26,-19.93,2.0952382,47.27,33.77,10753423590,0,0.84394187,0.97,42.53608247
XYL,Xylem Inc.,Industrials,70.24,30.94,1.1700794,76.81,46.86,12915021000,722000000,2.7262094,5.31,13.22787194
YUM,Yum! Brands Inc,Consumer Discretionary,76.3,27.25,1.7970798,86.93,62.85,27003303098,2289000000,6.3136363,212.08,0.359769898
ZBH,Zimmer Biomet Holdings,Health Care,115.53,14.32,0.7948336,133.49,108.17,24454698119,2007400000,3.1648953,2.39,48.33891213
ZION,Zions Bancorp,Financials,50.71,17.73,1.480933,55.61,38.43,10670678640,0,3.7945793,1.42,35.71126761
ZTS,Zoetis,Health Care,71.51,32.8,0.68237203,80.13,52,35991109776,1734000000,9.280896,18.09,3.953012714
